Subject,Predicate,Object
Mark Linkous,Tätigkeit,Sänger
Donald Trump,Land der Staatsangehörigkeit,Vereinigte Staaten
Tansania,Mitglied von,Internationale Fernmeldeunion
Melanie Chisholm,Tätigkeit,Unternehmer
Jean-Paul Sartre,Tätigkeit,Drehbuchautor
Türkei,Mitglied von,Internationale Finanz-Corporation
Republik Moldau,Mitglied von,Europarat
Bolivien,diplomatische Beziehung,Dänemark
Angie Stone,Tätigkeit,Komponist
Anastacia,Tätigkeit,Autor
Somalia,diplomatische Beziehung,Südkorea
Bangladesch,diplomatische Beziehung,Algerien
Singapur,diplomatische Beziehung,Thailand
Shania Twain,Genre,Country-Musik
Norman Mailer,besuchte Bildungseinrichtung,Universität von Paris
Miguel de Unamuno,Tätigkeit,Dichter
Albanien,Mitglied von,Internationales Zentrum zur Beilegung von Investitionsstreitigkeiten
Steven Seagal,Tätigkeit,Fernsehschauspieler
Pierre-Simon Laplace,beeinflusst von,Leonhard Euler
Pat Boone,Genre,Popmusik
W. H. Auden,besuchte Bildungseinrichtung,University of Oxford
David Attenborough,Land der Staatsangehörigkeit,Vereinigtes Königreich
Eric Burdon,Genre,Rock ’n’ Roll
Staat Palästina,diplomatische Beziehung,Indonesien
Bridgit Mendler,Instrument,Synthesizer
Mary Wollstonecraft,Wohnsitz,Paris
Brasilien,diplomatische Beziehung,Uruguay
Italien,diplomatische Beziehung,Ägypten
Doris Lessing,Todesursache,Schlaganfall
Georgien,diplomatische Beziehung,Iran
Italien,Mitglied von,Karibische Entwicklungsbank
Kris Kristofferson,Instrument,Klavier
Äquatorialguinea,Mitglied von,Internationale Bank für Wiederaufbau und Entwicklung
Waleri Jakowlewitsch Leontjew,Tätigkeit,Schauspieler
Jason Mraz,Instrument,Klavier
Syrien,diplomatische Beziehung,Vereinigte Staaten
Camille Jordan,Mitglied von,Accademia delle Scienze Turin
Immanuel Kant,Tätigkeit,Mathematiker
Noël Coward,Tätigkeit,Musiker
Jacques Derrida,beeinflusst von,Georg Wilhelm Friedrich Hegel
Celeste Buckingham,Tätigkeit,Musiker
John Denver,Tätigkeit,Sänger
Republik China,diplomatische Beziehung,Mali
Jason Derulo,gesprochene oder publizierte Sprachen,Englisch
Nepal,diplomatische Beziehung,Heiliger Stuhl
Gabriel Lamé,Mitglied von,Königlich Schwedische Akademie der Wissenschaften
Viggo Mortensen,Tätigkeit,Filmproduzent
Venezuela,diplomatische Beziehung,Russland
Michail Wassiljewitsch Lomonossow,Tätigkeit,Astronom
Peter Tork,Land der Staatsangehörigkeit,Vereinigte Staaten
Accademia Nazionale dei Lincei,Hauptverwaltung,Rom
Nordkorea,diplomatische Beziehung,Mauretanien
Gaspard de Prony,Mitglied von,Preußische Akademie der Wissenschaften
Barthold Georg Niebuhr,Tätigkeit,Diplomat
Douglas Adams,Land der Staatsangehörigkeit,Vereinigtes Königreich
Jamie Foxx,Instrument,Klavier
Deutschland,diplomatische Beziehung,Island
Nino Manfredi,Tätigkeit,Sänger
Peggy Lee,Tätigkeit,Musiker
Ukraine,diplomatische Beziehung,Philippinen
Ruanda,diplomatische Beziehung,Kenia
Etta James,Tätigkeit,Singer-Songwriter
Sean Penn,Parteizugehörigkeit,Demokratische Partei
Finnland,diplomatische Beziehung,Malaysia
Yoko Ono,Instrument,Stimme
Paul Langevin,besuchte Bildungseinrichtung,University of Cambridge
Penny Marshall,Tätigkeit,Filmschauspieler
Phil Collins,Tätigkeit,Filmschauspieler
Léo Ferré,Instrument,Stimme
James Clerk Maxwell,Tätigkeit,Fotograf
Shakira,Arbeitgeber,Universal Music Group
Oman,Mitglied von,Internationales Zentrum zur Beilegung von Investitionsstreitigkeiten
Vereinigte Arabische Emirate,Mitglied von,Weltpostverein
Frankreich,Kontinent,Europa
Felix Mendelssohn Bartholdy,Tätigkeit,Hochschullehrer
Lisa Marie Presley,Tätigkeit,Dichter
James Hetfield,Instrument,Bassgitarre
Michel Legrand,Tätigkeit,Drehbuchautor
Patrice Chéreau,Tätigkeit,Fernsehschauspieler
Indonesien,Kontinent,Asien
Ayọ,Wohnsitz,Paris
Sting,Instrument,Mandoline
Joseph Fourier,Tätigkeit,Physiker
Rodion Konstantinowitsch Schtschedrin,Tätigkeit,Pianist
John Keats,Bewegung,Romantik
Walentin Petrowitsch Katajew,Tätigkeit,Journalist
Kanada,diplomatische Beziehung,Vereinigtes Königreich
Emma Bunton,Tätigkeit,Sänger
Christopher Lee,gesprochene oder publizierte Sprachen,Schwedisch
George Steiner,Tätigkeit,Journalist
Trent Reznor,Tätigkeit,Produzent
Herman Melville,gesprochene oder publizierte Sprachen,Englisch
Gottfried Wilhelm Leibniz,beeinflusst von,Blaise Pascal
Gustav Landauer,Sterbeort,München
Zdeněk Nejedlý,Land der Staatsangehörigkeit,Österreich-Ungarn
Tom Hanks,gesprochene oder publizierte Sprachen,Englisch
Israel,ist Teil von,Naher Osten
Richard Buckminster Fuller,Tätigkeit,Wissenschaftler
Friedrich Nietzsche,beeinflusst von,William Butler Yeats
Kap Verde,Mitglied von,Internationale Bank für Wiederaufbau und Entwicklung
Robert De Niro,Tätigkeit,Drehbuchautor
Ted Nugent,Tätigkeit,Songschreiber
Albert Einstein,Tätigkeit,Wissenschaftler
Sidney Poitier,Tätigkeit,Fernsehschauspieler
Vince Neil,Tätigkeit,Filmschauspieler
Violetta Villas,Land der Staatsangehörigkeit,Polen
Senegal,diplomatische Beziehung,Russland
Ferdinand von Richthofen,Mitglied von,American Academy of Arts and Sciences
Tori Amos,Instrument,Klavier
Deutschland,diplomatische Beziehung,Panama
Suriname,Mitglied von,Organismo para la Proscripción de las Armas Nucleares en la América Latina y el Caribe
Max Weber,Land der Staatsangehörigkeit,Königreich Preußen
Johnny Hallyday,Genre,Soul
Kenia,diplomatische Beziehung,Südkorea
Edmund Wilson,beeinflusst von,Paul Valéry
Bhimrao Ramji Ambedkar,Tätigkeit,Anthropologe
Äquatorialguinea,diplomatische Beziehung,Deutschland
Yasmina Reza,Tätigkeit,Schauspieler
J. M. Coetzee,gesprochene oder publizierte Sprachen,Englisch
Zentralafrikanische Republik,Mitglied von,UNESCO
Burton Cummings,Tätigkeit,Pianist
Island Records,Staat,Jamaika
Jean-Baptiste Biot,Geburtsort,Paris
MC Hammer,Land der Staatsangehörigkeit,Vereinigte Staaten
Carlos Fuentes,Begräbnisort,Paris
Charles Mingus,Instrument,Klavier
Zentralafrikanische Republik,diplomatische Beziehung,Kamerun
Vietnam,diplomatische Beziehung,Mongolei
Jack White,Geburtsort,Detroit
Nick Cannon,Tätigkeit,Hörfunkmoderator
Alice Cooper,Genre,Rockmusik
Republik Moldau,Mitglied von,
Südsudan,Mitglied von,Internationale Finanz-Corporation
James Blunt,Tätigkeit,Singer-Songwriter
Dima Bilan,Plattenlabel,EMI
Madonna,Land der Staatsangehörigkeit,Vereinigte Staaten
Walentin Petrowitsch Katajew,Tätigkeit,Dramatiker
Nino Manfredi,gesprochene oder publizierte Sprachen,Italienisch
Tila Tequila,Land der Staatsangehörigkeit,Vereinigte Staaten
Joss Whedon,Tätigkeit,Komponist
Ève Curie,Wohnsitz,England
Kurt Weill,Todesursache,Herzinfarkt
Demokratische Republik Kongo,diplomatische Beziehung,Sambia
Wien,Staat,Kaisertum Österreich
Pakistan,diplomatische Beziehung,Australien
Amos Oz,Tätigkeit,Autor
Justin Bieber,Tätigkeit,Liedtexter
Václav Havel,Mitglied von,Royal Society of Literature
Rumänien,diplomatische Beziehung,Vereinigte Arabische Emirate
Bob Seger,Tätigkeit,Songschreiber
W. H. Auden,Mitglied von,American Academy of Arts and Letters
Vanessa Carlton,Religionszugehörigkeit,Atheismus
Senegal,diplomatische Beziehung,Australien
Benin,diplomatische Beziehung,Russland
Joseph Fourier,gesprochene oder publizierte Sprachen,Französisch
Billy Joel,Instrument,Stimme
Joumana Haddad,Land der Staatsangehörigkeit,Libanon
Liza Minnelli,Tätigkeit,Aufnahmekünstler
Komoren,Mitglied von,Internationale Finanz-Corporation
Franz Kafka,Wohnsitz,Prag
Harold Lloyd,Sterbeort,Beverly Hills
Cher,Genre,Tanzmusik
Justin Bieber,Instrument,Stimme
Joe Satriani,Genre,Hard Rock
Malaysia,diplomatische Beziehung,Ukraine
Anton Pawlowitsch Tschechow,Tätigkeit,Romancier
Little Richard,Genre,Gospelmusik
Johnny Cash,gesprochene oder publizierte Sprachen,Englisch
Avery Brooks,Tätigkeit,Sprecher
Pakistan,Mitglied von,International Hydrographic Organization
Australien,Mitglied von,Internationale Finanz-Corporation
Indonesien,diplomatische Beziehung,Nordkorea
Ivor Novello,Tätigkeit,Komponist
Ani Lorak,Land der Staatsangehörigkeit,Sowjetunion
Jorge Luis Borges,beeinflusst von,Joseph Conrad
J. R. R. Tolkien,gesprochene oder publizierte Sprachen,Latein
Robert Frost,Tätigkeit,Schriftsteller
Svetlana Surganova,Genre,Artrock
Thomas Carlyle,Tätigkeit,Mathematiker
Mel Brooks,Tätigkeit,Sprecher
Amerie,Tätigkeit,Tänzer
Ludwig Prandtl,Mitglied von,American Academy of Arts and Sciences
Miranda Cosgrove,Genre,Popmusik
k.d. lang,Arbeitsgebiet,Musikkomposition
Billy Joel,Instrument,Orgel
Ike Turner,gesprochene oder publizierte Sprachen,Englisch
Gordon Lightfoot,Plattenlabel,Warner Bros. Records
Martin Sheen,Tätigkeit,Bühnenschauspieler
Oswald Heer,Mitglied von,American Academy of Arts and Sciences
Mongolei,diplomatische Beziehung,Volksrepublik China
Finnland,diplomatische Beziehung,Schweden
John Muir,Tätigkeit,Botaniker
Whoopi Goldberg,Tätigkeit,Sprecher
Guinea-Bissau,Kontinent,Afrika
Litauen,Mitglied von,Visa-Waiver-Programm
Joseph Priestley,Tätigkeit,Erfinder
Friedrich Nietzsche,beeinflusst von,Stendhal
Pakistan,diplomatische Beziehung,Nordkorea
Bruce Willis,Tätigkeit,Filmproduzent
Aaron Copland,gesprochene oder publizierte Sprachen,Englisch
Octavio Paz,Genre,Poesie
Slowakei,Mitglied von,Multilaterale Investitions-Garantie-Agentur
Armenien,diplomatische Beziehung,Griechenland
Celeste Buckingham,Genre,Hip-Hop
Lion Feuchtwanger,Tätigkeit,Schriftsteller
Ukraine,Mitglied von,Europarat
Robert Penn Warren,Arbeitgeber,Yale University
Alexander Rybak,Genre,Popmusik
Johann Christoph Gottsched,Genre,Poesie
Äthiopien,diplomatische Beziehung,Republik China
Billy Dee Williams,Tätigkeit,Sprecher
John Locke,Arbeitgeber,University of Oxford
Angelina Jolie,Tätigkeit,Drehbuchautor
Irene Cara,Tätigkeit,Sänger
Marokko,diplomatische Beziehung,Russland
Pier Paolo Pasolini,Sterbeort,Rom
Katar,Mitglied von,Internationales Zentrum zur Beilegung von Investitionsstreitigkeiten
Albert Einstein,Tätigkeit,Sachbuchautor
Alice Cooper,Tätigkeit,Singer-Songwriter
Christopher Hitchens,beeinflusst von,George Orwell
Gordon Parks,Tätigkeit,Filmproduzent
Harry Chapin,besuchte Bildungseinrichtung,Cornell University
Leonard Nimoy,Genre,Western
Lauren Bacall,Land der Staatsangehörigkeit,Vereinigte Staaten
Nikolai Wladimirowitsch Fomenko,Land der Staatsangehörigkeit,Russland
Curtis Mayfield,Tätigkeit,Musikproduzent
Glen Campbell,Tätigkeit,Gitarrist
Gabun,Mitglied von,AKP-Gruppe
Buffy Sainte-Marie,Tätigkeit,Schauspieler
Chris Rea,Genre,Rockmusik
Kasachstan,Mitglied von,Interpol
Peter Lorre,Todesursache,Schlaganfall
Roger Penrose,Tätigkeit,Schriftsteller
Emma Bunton,gesprochene oder publizierte Sprachen,Englisch
Wladimir Iljitsch Lenin,Land der Staatsangehörigkeit,Sowjetunion
Berry Gordy,Genre,Soul
Fritz Lang,Land der Staatsangehörigkeit,Vereinigte Staaten
Donny Osmond,Plattenlabel,Universal Music Group
Wladimir Semjonowitsch Wyssozki,Tätigkeit,Prosaist
Lemmy Kilmister,Religionszugehörigkeit,Agnostizismus
Jorge Luis Borges,Tätigkeit,Übersetzer
Charles Bukowski,beeinflusst von,Franz Kafka
Indonesien,diplomatische Beziehung,Österreich
Dean Martin,Tätigkeit,Produzent
Peter Ustinov,Tätigkeit,Fernsehmoderator
Steve Martin,Tätigkeit,Fernsehschauspieler
John Cassavetes,Geburtsort,New York City
Sting,Gründungsort,England
Fritz Leiber junior,Land der Staatsangehörigkeit,Vereinigte Staaten
John Cale,Instrument,Schlaginstrument
Guatemala,diplomatische Beziehung,Europäische Union
Kenia,diplomatische Beziehung,Dänemark
Republik Moldau,diplomatische Beziehung,Italien
George Ellery Hale,Tätigkeit,Astronom
Thomas von Aquin,beeinflusst von,Platon
Bernard-Henri Lévy,Tätigkeit,Philosoph
Carl Sagan,Tätigkeit,Astronom
Dino Buzzati,Land der Staatsangehörigkeit,Italien
Staat Palästina,diplomatische Beziehung,Algerien
Ross Bagdasarian,Tätigkeit,Singer-Songwriter
Gene Simmons,Tätigkeit,Filmproduzent
Üzeyir Hacıbəyov,Tätigkeit,Musikwissenschaftler
Left Eye,Tätigkeit,Rapper
Honduras,diplomatische Beziehung,Brasilien
Al Jolson,Todesursache,Herzinfarkt
Dmitri Dmitrijewitsch Schostakowitsch,Tätigkeit,Schriftsteller
Erika Mann,Geschwister,Golo Mann
Brasilien,Mitglied von,Internationale Bank für Wiederaufbau und Entwicklung
Jordanien,Mitglied von,Internationales Zentrum zur Beilegung von Investitionsstreitigkeiten
Alexander Issajewitsch Solschenizyn,Land der Staatsangehörigkeit,Sowjetrussland
Chris Brown,Tätigkeit,Schauspieler
Glen Campbell,Genre,Country-Musik
Wolfgang Schadewaldt,Tätigkeit,Linguist
Somalia,diplomatische Beziehung,Vereinigte Arabische Emirate
Giorgio Gaber,Tätigkeit,Dramatiker
St. Vincent und die Grenadinen,Mitglied von,Weltpostverein
Max Born,Mitglied von,American Academy of Arts and Sciences
John Legend,Mitglied von,American Academy of Arts and Sciences
Roman Ossipowitsch Jakobson,gesprochene oder publizierte Sprachen,Englisch
Chile,diplomatische Beziehung,Dänemark
Mauretanien,Mitglied von,Organisation für das Verbot chemischer Waffen
Irland,diplomatische Beziehung,Republik China
Barbara Mandrell,Plattenlabel,Epic Records
Spike Lee,Mitglied von,American Academy of Arts and Sciences
Australien,diplomatische Beziehung,Bolivien
Amy Lee,Tätigkeit,Opernsänger
La Toya Jackson,Plattenlabel,Polydor
Kinky Friedman,Tätigkeit,Schriftsteller
Nepal,diplomatische Beziehung,Malaysia
Jean-Baptiste Le Rond d’Alembert,Religionszugehörigkeit,Atheismus
Republik Moldau,diplomatische Beziehung,Deutschland
Isaac Bashevis Singer,Tätigkeit,Kinderbuchautor
Dolly Parton,Tätigkeit,Gitarrist
Ben Moody,Instrument,Violine
Anatoli Wassiljewitsch Lunatscharski,Tätigkeit,Schauspieler
Josephine Baker,Bevölkerungsgruppe,Afroamerikaner
Indien,diplomatische Beziehung,Uruguay
Pakistan,diplomatische Beziehung,Spanien
Hanns Eisler,Tätigkeit,Filmkomponist
Sierra Leone,diplomatische Beziehung,Deutschland
Jason Derulo,Tätigkeit,Tänzer
Bertrand Russell,Tätigkeit,Schriftsteller
John Kenneth Galbraith,Arbeitgeber,Harvard University
Whoopi Goldberg,Land der Staatsangehörigkeit,Vereinigte Staaten
Mike Shinoda,Tätigkeit,Komponist
Vereinigte Staaten,diplomatische Beziehung,Dominica
Lauren Bacall,Parteizugehörigkeit,Demokratische Partei
Iran,diplomatische Beziehung,Staat Palästina
Komoren,Kontinent,Afrika
Staat Palästina,Amtssprache,Arabisch
Tinashe Kachingwe,Bevölkerungsgruppe,Afroamerikaner
Serbien,diplomatische Beziehung,Ungarn
Konrad Lorenz,Mitglied von,Bayerische Akademie der Wissenschaften
Sara Bareilles,Instrument,Gitarre
Jewgeni Alexandrowitsch Jewtuschenko,gesprochene oder publizierte Sprachen,Russisch
Fred Hoyle,Mitglied von,Royal Society
Hayley Williams,Tätigkeit,Singer-Songwriter
Lettland,Mitglied von,
Alsou,gesprochene oder publizierte Sprachen,Russisch
Somalia,diplomatische Beziehung,Frankreich
Rabindranath Thakur,Genre,Roman
Mexiko,Mitglied von,Australische Gruppe
Carrie Fisher,Tätigkeit,Drehbuchautor
"Sammy Davis, Jr.",Bevölkerungsgruppe,Juden in den Vereinigten Staaten
Ernst Mayr,Tätigkeit,Zoologe
Lena Horne,Sterbeort,New York City
Norwegen,Mitglied von,Multilaterale Investitions-Garantie-Agentur
Malaysia,diplomatische Beziehung,Schweiz
Shannon Leto,Genre,Hard Rock
Amiri Baraka,Land der Staatsangehörigkeit,Vereinigte Staaten
Frankreich,diplomatische Beziehung,Spanien
Tunesien,Mitglied von,Internationale Organisation der Frankophonie
Milton Friedman,gesprochene oder publizierte Sprachen,Englisch
Iwan Franko,Genre,Roman
Jordin Sparks,Genre,Popmusik
Woodrow Wilson,Mitglied von,Accademia delle Scienze Turin
Peru,Mitglied von,Internationale Fernmeldeunion
František Palacký,Mitglied von,Sankt Petersburger Akademie der Wissenschaften
Wilhelm Ostwald,Mitglied von,Sankt Petersburger Akademie der Wissenschaften
Panama,diplomatische Beziehung,Kolumbien
Kevin Jonas,gesprochene oder publizierte Sprachen,Englisch
Paul Anka,Land der Staatsangehörigkeit,Vereinigte Staaten
Nick Cave,Tätigkeit,Romancier
John Cale,Tätigkeit,Fernsehschauspieler
Nelly Furtado,Tätigkeit,Gitarrist
Ägypten,diplomatische Beziehung,Südkorea
Schweden,Mitglied von,Weltpostverein
Julie Tippetts,Tätigkeit,Jazzmusiker
Frédéric Chopin,Genre,klassische Musik
Österreich,Mitglied von,Missile Technology Control Regime
Gladys Knight,Land der Staatsangehörigkeit,Vereinigte Staaten
Ava Gardner,Parteizugehörigkeit,Demokratische Partei
Adam Sandler,Tätigkeit,Sänger
"Tyler, the Creator",Geburtsort,Los Angeles
Lea Michele,Tätigkeit,Filmschauspieler
Volksrepublik China,diplomatische Beziehung,Rumänien
Common,Plattenlabel,Warner Bros. Records
Vereinigte Staaten,Mitglied von,Asiatisch-Pazifische Wirtschaftsgemeinschaft
Georgien,diplomatische Beziehung,Vanuatu
Niederlande,Mitglied von,Weltpostverein
Boris Vian,Tätigkeit,Komponist
Ashanti,Genre,Contemporary R&B
Julian Barnes,Genre,Satire
Lena Horne,Genre,Popmusik
Édouard René Lefebvre de Laboulaye,Tätigkeit,Schriftsteller
Schweden,Mitglied von,
Armenien,diplomatische Beziehung,Mexiko
Kanada,diplomatische Beziehung,Brunei
Akiko Yano,Genre,elektronische Musik
Gary Becker,Tätigkeit,Hochschullehrer
Harry Connick junior,Tätigkeit,Bandleader
Jack Black,Tätigkeit,Schauspieler
Marcelin Berthelot,Sterbeort,Paris
Santiago Ramón y Cajal,Mitglied von,Académie des sciences
Gabriel Marcel,Tätigkeit,Dramatiker
Iwan Andrejewitsch Urgant,Tätigkeit,Fernsehproduzent
Ingmar Bergman,Religionszugehörigkeit,Atheismus
RZA,Tätigkeit,Schriftsteller
Thomas Henry Huxley,Tätigkeit,Schriftsteller
Cyndi Lauper,Tätigkeit,Singer-Songwriter
Gustav Landauer,beeinflusst von,Pjotr Alexejewitsch Kropotkin
Litauen,diplomatische Beziehung,Australien
Roger Penrose,gesprochene oder publizierte Sprachen,Englisch
Bangladesch,diplomatische Beziehung,Kambodscha
Jan Evangelista Purkyně,gesprochene oder publizierte Sprachen,Latein
Südkorea,Mitglied von,Internationale Finanz-Corporation
Wladimir Rudolfowitsch Solowjow,Tätigkeit,Fernsehmoderator
Brad Pitt,Tätigkeit,Sprecher
Luciano Berio,Tätigkeit,Hochschullehrer
Kamerun,Mitglied von,UNESCO
Pier Paolo Pasolini,Tätigkeit,Journalist
Jordanien,diplomatische Beziehung,Pakistan
Charlie Wilson,Tätigkeit,Musikproduzent
Svetlana Surganova,Tätigkeit,Musiker
Brian May,Genre,Pop-Rock
Kevin Spacey,besuchte Bildungseinrichtung,Juilliard School
Südafrika,diplomatische Beziehung,Argentinien
Boris Vian,Tätigkeit,Literaturkritiker
Richard Buckminster Fuller,Tätigkeit,Künstler
Jaan Kaplinski,Tätigkeit,Politiker
Griechenland,diplomatische Beziehung,Pakistan
Dänemark,diplomatische Beziehung,Frankreich
Erwin Raisz,Tätigkeit,Ingenieur
Eswatini,Mitglied von,Organisation für das Verbot chemischer Waffen
Dmitri Dmitrijewitsch Schostakowitsch,Tätigkeit,Musikpädagoge
Fergie,Genre,Popmusik
Rickie Lee Jones,Tätigkeit,Komponist
Saudi-Arabien,diplomatische Beziehung,Katar
Robert Schumann,Erkrankung,Bipolare Störung
Lonnie Liston Smith,Tätigkeit,Sänger
Hugo Grotius,Tätigkeit,Theologe
Norwegen,diplomatische Beziehung,Ungarn
Polen,diplomatische Beziehung,Spanien
Lowell George,Tätigkeit,Musikproduzent
Timbaland,Genre,Rhythm and Blues
Slowakei,Mitglied von,
George Steiner,Tätigkeit,Übersetzer
Chile,diplomatische Beziehung,Weißrussland
Weißrussland,diplomatische Beziehung,Lettland
Sean Combs,Tätigkeit,Filmschauspieler
Dolly Parton,Plattenlabel,Mercury Records
Iwan Andrejewitsch Krylow,Bevölkerungsgruppe,Russen
Alphonse Daudet,Tätigkeit,Drehbuchautor
Benjamin Britten,Mitglied von,American Academy of Arts and Sciences
Luis Alberto Spinetta,Genre,Rockmusik
Lettland,diplomatische Beziehung,Ukraine
Amanda Palmer,Instrument,Stimme
Brandy,Tätigkeit,Fernsehschauspieler
Gaspard de Prony,Tätigkeit,Physiker
Eugène Ionesco,beeinflusst von,Franz Kafka
Shakira,Tätigkeit,Model
R. Kelly,Tätigkeit,Filmschauspieler
Julija Olegowna Wolkowa,Instrument,Klavier
Pierre Boulez,Mitglied von,Akademie der Künste Berlin
Nigeria,Mitglied von,Welthandelsorganisation
Theodor Nöldeke,besuchte Bildungseinrichtung,Georg-August-Universität Göttingen
Alexei Wladimirowitsch Worobjow,Land der Staatsangehörigkeit,Sowjetunion
Ägypten,diplomatische Beziehung,Indonesien
